NE,127.2794819,226,12
DEN,63.32434654,192,13
SEA,107.1625366,192,12
SF,57.76122299,118,11
ATL,58.20430594,117,12
GB,47.18265877,97,11
NYG,28.7818464,85,9
CHI,44.84180961,85,10
HOU,44.98784341,85,12
CIN,60.92507934,71,10
BAL,36.27574315,54,10
WAS,27.37459662,44,9
MIN,52.28024541,31,10
PIT,9.297678355,22,8
NO,2.345012367,7,7
SD,40.89080056,0,7
TB,6.844381817,-1,8
CAR,13.48690229,-6,7
DAL,-53.44188703,-24,8
MIA,-9.868694646,-35,6
IND,-18.15811639,-36,10
STL,-39.7510573,-55,7
DET,-42.28256716,-65,4
CLE,-39.8509268,-66,5
NYJ,-58.21997984,-88,6
BUF,-37.99771757,-91,6
ARI,-67.23164626,-108,5
TEN,-65.82062783,-135,6
OAK,-111.1718206,-150,4
PHI,-82.13201313,-163,4
JAC,-77.14130202,-189,2
KC,-126.1781354,-214,2
